token,size,bit,cluster,score
br0,32,0,0,0
br0,32,1,0,0
br0,32,10,0,0
br0,32,11,0,0
br0,32,12,0,0
br0,32,13,0,0
br0,32,15,0,0
br0,32,2,0,0
br0,32,3,0,0
br0,32,31,0,0
br0,32,4,0,0
br0,32,5,0,0
br0,32,6,0,0
br0,32,8,0,0
br0,32,9,0,0
br1,32,0,0,0
br1,32,1,0,0
br1,32,10,0,0
br1,32,11,0,0
br1,32,13,0,0
br1,32,2,0,0
br1,32,3,0,0
br1,32,31,0,0
br1,32,4,0,0
br1,32,5,0,0
br1,32,6,0,0
br1,32,7,0,0
br1,32,8,0,0
br10,32,0,0,0
br10,32,1,0,0
br10,32,10,0,0
br10,32,11,0,0
br10,32,13,0,0
br10,32,2,0,0
br10,32,3,0,0
br10,32,31,0,0
br10,32,4,0,0
br10,32,5,0,0
br10,32,6,0,0
br10,32,7,0,0
br10,32,8,0,0
br11,32,0,0,0
br11,32,1,0,0
br11,32,10,0,0
br11,32,11,0,0
br11,32,12,0,0
br11,32,13,0,0
br11,32,14,0,0
br11,32,2,0,0
br11,32,3,0,0
br11,32,31,0,0
br11,32,4,0,0
br11,32,5,0,0
br11,32,6,0,0
br11,32,7,0,0
br11,32,8,0,0
br11,32,9,0,0
br12,32,0,0,0
br12,32,1,0,0
br12,32,10,0,0
br12,32,11,0,0
br12,32,12,0,0
br12,32,13,0,0
br12,32,14,0,0
br12,32,15,0,0
br12,32,2,0,0
br12,32,3,0,0
br12,32,31,0,0
br12,32,4,0,0
br12,32,5,0,0
br12,32,6,0,0
br12,32,7,0,0
br12,32,8,0,0
br12,32,9,0,0
br13,32,0,0,0
br13,32,1,0,0
br13,32,17,0,0
br13,32,18,0,0
br13,32,19,0,0
br13,32,2,0,0
br13,32,20,0,0
br13,32,21,0,0
br13,32,22,0,0
br13,32,23,0,0
br13,32,24,0,0
br13,32,25,0,0
br13,32,26,0,0
br13,32,27,0,0
br13,32,28,0,0
br13,32,29,0,0
br13,32,3,0,0
br13,32,30,0,0
br13,32,31,0,0
br13,32,4,0,0
br13,32,5,0,0
br13,32,6,0,0
br14,32,0,0,0
br14,32,1,0,0
br14,32,15,0,0
br14,32,16,0,0
br14,32,17,0,0
br14,32,18,0,0
br14,32,19,0,0
br14,32,2,0,0
br14,32,20,0,0
br14,32,21,0,0
br14,32,22,0,0
br14,32,23,0,0
br14,32,24,0,0
br14,32,25,0,0
br14,32,26,0,0
br14,32,27,0,0
br14,32,28,0,0
br14,32,29,0,0
br14,32,30,0,0
br14,32,31,0,0
br14,32,4,0,0
br15,32,0,0,0
br15,32,15,0,0
br15,32,16,0,0
br15,32,17,0,0
br15,32,18,0,0
br15,32,19,0,0
br15,32,2,0,0
br15,32,20,0,0
br15,32,21,0,0
br15,32,22,0,0
br15,32,23,0,0
br15,32,24,0,0
br15,32,25,0,0
br15,32,26,0,0
br15,32,27,0,0
br15,32,28,0,0
br15,32,29,0,0
br15,32,30,0,0
br15,32,31,0,0
br16,32,0,0,0
br16,32,1,0,0
br16,32,19,0,0
br16,32,2,0,0
br16,32,20,0,0
br16,32,21,0,0
br16,32,22,0,0
br16,32,23,0,0
br16,32,24,0,0
br16,32,25,0,0
br16,32,26,0,0
br16,32,27,0,0
br16,32,28,0,0
br16,32,29,0,0
br16,32,3,0,0
br16,32,30,0,0
br16,32,31,0,0
br16,32,4,0,0
br17,32,0,0,0
br17,32,1,0,0
br17,32,2,0,0
br17,32,20,0,0
br17,32,21,0,0
br17,32,22,0,0
br17,32,23,0,0
br17,32,24,0,0
br17,32,25,0,0
br17,32,26,0,0
br17,32,27,0,0
br17,32,28,0,0
br17,32,29,0,0
br17,32,3,0,0
br17,32,30,0,0
br17,32,31,0,0
br17,32,4,0,0
br17,32,5,0,0
br17,32,6,0,0
br17,32,7,0,0
br17,32,9,0,0
br18,32,0,0,0
br18,32,1,0,0
br18,32,19,0,0
br18,32,2,0,0
br18,32,20,0,0
br18,32,21,0,0
br18,32,22,0,0
br18,32,23,0,0
br18,32,24,0,0
br18,32,25,0,0
br18,32,26,0,0
br18,32,27,0,0
br18,32,28,0,0
br18,32,29,0,0
br18,32,3,0,0
br18,32,30,0,0
br18,32,31,0,0
br18,32,6,0,0
br2,32,0,0,0
br2,32,1,0,0
br2,32,19,0,0
br2,32,2,0,0
br2,32,20,0,0
br2,32,21,0,0
br2,32,22,0,0
br2,32,23,0,0
br2,32,24,0,0
br2,32,25,0,0
br2,32,26,0,0
br2,32,27,0,0
br2,32,28,0,0
br2,32,29,0,0
br2,32,3,0,0
br2,32,30,0,0
br2,32,31,0,0
br2,32,6,0,0
br21,32,0,0,0
br21,32,1,0,0
br21,32,10,0,0
br21,32,11,0,0
br21,32,12,0,0
br21,32,13,0,0
br21,32,14,0,0
br21,32,15,0,0
br21,32,16,0,0
br21,32,17,0,0
br21,32,18,0,0
br21,32,19,0,0
br21,32,2,0,0
br21,32,20,0,0
br21,32,21,0,0
br21,32,22,0,0
br21,32,24,0,0
br21,32,3,0,0
br21,32,4,0,0
br21,32,5,0,0
br21,32,6,0,0
br21,32,7,0,0
br21,32,8,0,0
br21,32,9,0,0
br22,32,0,0,0
br22,32,1,0,0
br22,32,10,0,0
br22,32,11,0,0
br22,32,12,0,0
br22,32,13,0,0
br22,32,14,0,0
br22,32,15,0,0
br22,32,16,0,0
br22,32,17,0,0
br22,32,18,0,0
br22,32,19,0,0
br22,32,2,0,0
br22,32,20,0,0
br22,32,21,0,0
br22,32,22,0,0
br22,32,3,0,0
br22,32,4,0,0
br22,32,5,0,0
br22,32,6,0,0
br22,32,7,0,0
br22,32,8,0,0
br22,32,9,0,0
br23,32,0,0,0
br23,32,1,0,0
br23,32,10,0,0
br23,32,11,0,0
br23,32,13,0,0
br23,32,14,0,0
br23,32,15,0,0
br23,32,2,0,0
br23,32,3,0,0
br23,32,31,0,0
br23,32,4,0,0
br23,32,5,0,0
br23,32,6,0,0
br23,32,7,0,0
br24,32,0,0,0
br24,32,1,0,0
br24,32,10,0,0
br24,32,11,0,0
br24,32,12,0,0
br24,32,13,0,0
br24,32,14,0,0
br24,32,15,0,0
br24,32,16,0,0
br24,32,17,0,0
br24,32,18,0,0
br24,32,19,0,0
br24,32,2,0,0
br24,32,20,0,0
br24,32,21,0,0
br24,32,22,0,0
br24,32,23,0,0
br24,32,24,0,0
br24,32,25,0,0
br24,32,26,0,0
br24,32,27,0,0
br24,32,28,0,0
br24,32,29,0,0
br24,32,3,0,0
br24,32,30,0,0
br24,32,4,0,0
br24,32,5,0,0
br24,32,6,0,0
br24,32,7,0,0
br24,32,8,0,0
br24,32,9,0,0
br25,1,0,0,0
br26,1,0,0,0
br27,1,0,0,0
br28,31,0,0,0
br28,31,1,0,0
br28,31,10,0,0
br28,31,11,0,0
br28,31,12,0,0
br28,31,13,0,0
br28,31,14,0,0
br28,31,15,0,0
br28,31,16,0,0
br28,31,17,0,0
br28,31,18,0,0
br28,31,2,0,0
br28,31,20,0,0
br28,31,21,0,0
br28,31,3,0,0
br28,31,4,0,0
br28,31,5,0,0
br28,31,6,0,0
br28,31,7,0,0
br28,31,8,0,0
br28,31,9,0,0
br3,32,0,0,0
br3,32,1,0,0
br3,32,19,0,0
br3,32,2,0,0
br3,32,20,0,0
br3,32,21,0,0
br3,32,22,0,0
br3,32,23,0,0
br3,32,24,0,0
br3,32,25,0,0
br3,32,26,0,0
br3,32,27,0,0
br3,32,28,0,0
br3,32,29,0,0
br3,32,3,0,0
br3,32,30,0,0
br3,32,31,0,0
br3,32,4,0,0
br4,32,0,0,0
br4,32,1,0,0
br4,32,10,0,0
br4,32,11,0,0
br4,32,12,0,0
br4,32,13,0,0
br4,32,14,0,0
br4,32,15,0,0
br4,32,16,0,0
br4,32,17,0,0
br4,32,18,0,0
br4,32,2,0,0
br4,32,20,0,0
br4,32,21,0,0
br4,32,3,0,0
br4,32,4,0,0
br4,32,5,0,0
br4,32,6,0,0
br4,32,7,0,0
br4,32,8,0,0
br4,32,9,0,0
br5,32,0,0,0
br5,32,1,0,0
br5,32,10,0,0
br5,32,11,0,0
br5,32,12,0,0
br5,32,13,0,0
br5,32,14,0,0
br5,32,15,0,0
br5,32,16,0,0
br5,32,17,0,0
br5,32,18,0,0
br5,32,19,0,0
br5,32,2,0,0
br5,32,20,0,0
br5,32,21,0,0
br5,32,22,0,0
br5,32,24,0,0
br5,32,3,0,0
br5,32,4,0,0
br5,32,5,0,0
br5,32,6,0,0
br5,32,7,0,0
br5,32,8,0,0
br5,32,9,0,0
br6,32,0,0,0
br6,32,1,0,0
br6,32,2,0,0
br6,32,20,0,0
br6,32,21,0,0
br6,32,22,0,0
br6,32,23,0,0
br6,32,24,0,0
br6,32,25,0,0
br6,32,26,0,0
br6,32,27,0,0
br6,32,28,0,0
br6,32,29,0,0
br6,32,3,0,0
br6,32,30,0,0
br6,32,31,0,0
br6,32,4,0,0
br6,32,5,0,0
br6,32,6,0,0
br6,32,7,0,0
br6,32,9,0,0
br7,32,0,0,0
br7,32,15,0,0
br7,32,16,0,0
br7,32,17,0,0
br7,32,18,0,0
br7,32,19,0,0
br7,32,2,0,0
br7,32,20,0,0
br7,32,21,0,0
br7,32,22,0,0
br7,32,23,0,0
br7,32,24,0,0
br7,32,25,0,0
br7,32,26,0,0
br7,32,27,0,0
br7,32,28,0,0
br7,32,29,0,0
br7,32,30,0,0
br7,32,31,0,0
br8,32,0,0,0
br8,32,1,0,0
br8,32,15,0,0
br8,32,16,0,0
br8,32,17,0,0
br8,32,18,0,0
br8,32,19,0,0
br8,32,2,0,0
br8,32,20,0,0
br8,32,21,0,0
br8,32,22,0,0
br8,32,23,0,0
br8,32,24,0,0
br8,32,25,0,0
br8,32,26,0,0
br8,32,27,0,0
br8,32,28,0,0
br8,32,29,0,0
br8,32,30,0,0
br8,32,31,0,0
br8,32,4,0,0
br9,32,0,0,0
br9,32,1,0,0
br9,32,10,0,0
br9,32,11,0,0
br9,32,12,0,0
br9,32,13,0,0
br9,32,15,0,0
br9,32,2,0,0
br9,32,3,0,0
br9,32,31,0,0
br9,32,4,0,0
br9,32,5,0,0
br9,32,6,0,0
br9,32,8,0,0
br9,32,9,0,0
br0,32,14,0,3
br0,32,16,0,3
br0,32,7,0,3
br1,32,12,0,3
br1,32,14,0,3
br1,32,9,0,3
br10,32,12,0,3
br10,32,14,0,3
br10,32,9,0,3
br13,32,7,0,3
br13,32,8,0,3
br14,32,3,0,3
br14,32,5,0,3
br14,32,7,0,3
br16,32,11,0,3
