statement,cluster,score
s0,0,0
s22,0,0
s30,0,0
s31,0,0
s36,0,0
s37,0,0
s40,0,0
s41,0,0
s42,0,0
s44,0,0
s47,0,0
s48,0,0
s49,0,0
s50,0,0
s51,0,0
s52,0,0
s53,0,0
s54,0,0
s55,0,0
s56,0,0
s57,0,0
s59,0,0
s60,0,0
s61,0,0
s62,0,0
s45,1,313
s58,1,313
s63,1,313
s38,1,334
s39,1,334
s10,2,629
s15,2,629
s17,2,629
s5,2,629
s16,2,796
s18,2,796
s21,2,796
s4,2,796
s6,2,796
s9,2,796
s12,2,868
s13,2,868
s2,3,985
s19,3,1170
s20,3,1170
s7,3,1170
s8,3,1170
s43,3,1292
s1,3,1319
s3,3,1319
s23,4,4372
s28,5,6780
s14,5,7293
s35,6,8339
s24,7,8673
s25,7,8673
s46,7,8673
s26,8,13973
s11,8,14178
s27,8,14178
s29,8,14178
s32,8,14178
s33,8,14178
s34,8,14178
