statement,cluster,score
s0,0,0.0000
s22,0,0.0000
s30,0,0.0000
s31,0,0.0000
s36,0,0.0000
s37,0,0.0000
s40,0,0.0000
s41,0,0.0000
s42,0,0.0000
s44,0,0.0000
s47,0,0.0000
s48,0,0.0000
s49,0,0.0000
s50,0,0.0000
s51,0,0.0000
s52,0,0.0000
s53,0,0.0000
s54,0,0.0000
s55,0,0.0000
s56,0,0.0000
s57,0,0.0000
s59,0,0.0000
s60,0,0.0000
s61,0,0.0000
s62,0,0.0000
s38,1,112.6468
s39,1,112.6468
s10,1,127.6851
s15,1,127.6851
s17,1,127.6851
s5,1,127.6851
s45,1,127.7268
s58,1,127.7268
s63,1,127.7268
s16,2,175.9476
s18,2,175.9476
s21,2,175.9476
s4,2,175.9476
s6,2,175.9476
s9,2,175.9476
s12,3,229.6375
s13,3,229.6375
s19,4,278.5293
s20,4,278.5293
s7,4,278.5293
s8,4,278.5293
s2,4,295.5645
s23,4,304.9353
s43,4,314.7433
s1,5,362.5812
s3,5,362.5812
s35,6,597.4143
s24,7,710.0611
s25,7,710.0611
s46,7,710.0611
s28,7,745.5913
s14,8,1183.6990
s26,9,1394.9343
s11,9,1412.4564
s27,9,1412.4564
s29,9,1412.4564
s32,9,1412.4564
s33,9,1412.4564
s34,9,1412.4564
