statement,cluster,score
s0,0,0
s22,0,0
s30,0,0
s31,0,0
s37,0,0
s41,0,0
s44,0,0
s47,0,0
s48,0,0
s49,0,0
s50,0,0
s51,0,0
s52,0,0
s53,0,0
s54,0,0
s55,0,0
s56,0,0
s57,0,0
s59,0,0
s60,0,0
s61,0,0
s62,0,0
s67,0,0
s72,0,0
s36,0,1070
s38,1,2207
s39,1,2207
s40,1,2222
s42,1,2254
s10,2,12485
s15,2,12485
s17,2,12485
s5,2,12485
s23,2,13511
s16,2,14792
s18,2,14792
s21,2,14792
s4,2,14792
s6,2,14792
s9,2,14792
s19,2,15215
s20,2,15215
s7,2,15215
s8,2,15215
s35,3,18001
s45,3,20724
s58,3,20724
s63,3,20724
s68,3,20724
s71,3,20724
s73,3,20724
s69,3,21174
s46,3,22429
s65,3,22429
s12,3,23006
s13,3,23006
s43,4,24280
s2,4,24292
s28,4,24695
s1,4,25909
s3,4,25909
s24,4,27448
s25,4,27448
s70,5,34312
s14,5,37550
s26,6,44530
s64,6,50041
s66,6,50041
s11,6,50399
s27,6,50399
s29,6,50399
s32,6,50399
s33,6,50399
s34,6,50399
