statement,cluster,score
s0,0,0.0000
s22,0,0.0000
s30,0,0.0000
s31,0,0.0000
s37,0,0.0000
s41,0,0.0000
s44,0,0.0000
s47,0,0.0000
s48,0,0.0000
s49,0,0.0000
s50,0,0.0000
s51,0,0.0000
s52,0,0.0000
s53,0,0.0000
s54,0,0.0000
s55,0,0.0000
s56,0,0.0000
s57,0,0.0000
s59,0,0.0000
s60,0,0.0000
s61,0,0.0000
s62,0,0.0000
s67,0,0.0000
s72,0,0.0000
s36,1,123.9863
s38,2,351.7941
s39,2,351.7941
s40,2,372.6763
s42,2,375.2042
s35,3,928.3406
s23,3,1168.4895
s46,4,1647.1847
s65,4,1647.1847
s10,4,1700.5491
s15,4,1700.5491
s17,4,1700.5491
s5,4,1700.5491
s16,5,1996.7962
s18,5,1996.7962
s21,5,1996.7962
s4,5,1996.7962
s6,5,1996.7962
s9,5,1996.7962
s19,5,2013.3271
s20,5,2013.3271
s7,5,2013.3271
s8,5,2013.3271
s28,5,2022.4596
s24,6,2325.3557
s25,6,2325.3557
s45,7,2661.0787
s58,7,2661.0787
s63,7,2661.0787
s68,7,2661.0787
s71,7,2661.0787
s73,7,2661.0787
s69,7,2672.2915
s12,7,2702.4964
s13,7,2702.4964
s2,7,2790.3955
s43,7,2799.6309
s1,7,2866.1512
s3,7,2866.1512
s70,7,2983.0037
s14,8,3375.2131
s26,8,3377.1951
s64,9,3521.7329
s66,9,3521.7329
s11,9,3547.6239
s27,9,3547.6239
s29,9,3547.6239
s32,9,3547.6239
s33,9,3547.6239
s34,9,3547.6239
