var,size,bit,cluster,score
cos12,32,0,0,536.1910
cos12,32,1,0,536.1910
cos12,32,19,0,536.1910
cos12,32,2,0,536.1910
cos12,32,20,0,536.1910
cos12,32,21,0,536.1910
cos12,32,22,0,536.1910
cos12,32,23,0,536.1910
cos12,32,24,0,536.1910
cos12,32,25,0,536.1910
cos12,32,26,0,536.1910
cos12,32,27,0,536.1910
cos12,32,28,0,536.1910
cos12,32,29,0,536.1910
cos12,32,3,0,536.1910
cos12,32,30,0,536.1910
cos12,32,31,0,536.1910
cos12,32,4,0,536.1910
cos12,32,6,0,536.1910
cos12_reg,32,0,0,536.1910
cos12_reg,32,1,0,536.1910
cos12_reg,32,19,0,536.1910
cos12_reg,32,2,0,536.1910
cos12_reg,32,20,0,536.1910
cos12_reg,32,21,0,536.1910
cos12_reg,32,22,0,536.1910
cos12_reg,32,23,0,536.1910
cos12_reg,32,24,0,536.1910
cos12_reg,32,25,0,536.1910
cos12_reg,32,26,0,536.1910
cos12_reg,32,27,0,536.1910
cos12_reg,32,28,0,536.1910
cos12_reg,32,29,0,536.1910
cos12_reg,32,3,0,536.1910
cos12_reg,32,30,0,536.1910
cos12_reg,32,31,0,536.1910
cos12_reg,32,4,0,536.1910
cos12_reg,32,6,0,536.1910
cos_theta2,32,0,0,536.1910
cos_theta2,32,1,0,536.1910
cos_theta2,32,15,0,536.1910
cos_theta2,32,16,0,536.1910
cos_theta2,32,17,0,536.1910
cos_theta2,32,18,0,536.1910
cos_theta2,32,19,0,536.1910
cos_theta2,32,20,0,536.1910
cos_theta2,32,21,0,536.1910
cos_theta2,32,22,0,536.1910
cos_theta2,32,23,0,536.1910
cos_theta2,32,24,0,536.1910
cos_theta2,32,25,0,536.1910
cos_theta2,32,26,0,536.1910
cos_theta2,32,27,0,536.1910
cos_theta2,32,28,0,536.1910
cos_theta2,32,29,0,536.1910
cos_theta2,32,30,0,536.1910
cos_theta2,32,31,0,536.1910
cos_theta2,32,5,0,536.1910
cos_theta2_reg,32,0,0,536.1910
cos_theta2_reg,32,1,0,536.1910
cos_theta2_reg,32,15,0,536.1910
cos_theta2_reg,32,16,0,536.1910
cos_theta2_reg,32,17,0,536.1910
cos_theta2_reg,32,18,0,536.1910
cos_theta2_reg,32,19,0,536.1910
cos_theta2_reg,32,20,0,536.1910
cos_theta2_reg,32,21,0,536.1910
cos_theta2_reg,32,22,0,536.1910
cos_theta2_reg,32,23,0,536.1910
cos_theta2_reg,32,24,0,536.1910
cos_theta2_reg,32,25,0,536.1910
cos_theta2_reg,32,26,0,536.1910
cos_theta2_reg,32,27,0,536.1910
cos_theta2_reg,32,28,0,536.1910
cos_theta2_reg,32,29,0,536.1910
cos_theta2_reg,32,30,0,536.1910
cos_theta2_reg,32,31,0,536.1910
cos_theta2_reg,32,5,0,536.1910
part_1,32,0,0,536.1910
part_1,32,1,0,536.1910
part_1,32,2,0,536.1910
part_1,32,20,0,536.1910
part_1,32,21,0,536.1910
part_1,32,22,0,536.1910
part_1,32,23,0,536.1910
part_1,32,24,0,536.1910
part_1,32,25,0,536.1910
