statement,cluster,score
s10,,0,540.8120
s15,,0,540.8120
s17,,0,540.8120
s27,,0,540.8120
s28,,0,540.8120
s29,,0,540.8120
s30,,0,540.8120
s31,,0,540.8120
s32,,0,540.8120
s33,,0,540.8120
s34,,0,540.8120
s35,,0,540.8120
s36,,0,540.8120
s37,,0,540.8120
s38,,0,540.8120
s39,,0,540.8120
s40,,0,540.8120
s41,,0,540.8120
s42,,0,540.8120
s43,,0,540.8120
s44,,0,540.8120
s45,,0,540.8120
s46,,0,540.8120
s47,,0,540.8120
s48,,0,540.8120
s49,,0,540.8120
s5,,0,540.8120
s50,,0,540.8120
s51,,0,540.8120
s52,,0,540.8120
s53,,0,540.8120
s54,,0,540.8120
s55,,0,540.8120
s56,,0,540.8120
s57,,0,540.8120
s58,,0,540.8120
s59,,0,540.8120
s60,,0,540.8120
s61,,0,540.8120
s62,,0,540.8120
s63,,0,540.8120
s64,,0,540.8120
s65,,0,540.8120
s66,,0,540.8120
s67,,0,540.8120
s68,,0,540.8120
s69,,0,540.8120
s70,,0,540.8120
s71,,0,540.8120
s72,,0,540.8120
s73,,0,540.8120
s18,,1,542.1983
s12,,1,542.2672
s13,,1,542.2672
s16,,2,546.8871
s21,,2,546.8871
s4,,2,546.8871
s6,,2,546.8871
s9,,2,546.8871
s19,,3,548.4564
s20,,3,548.4564
s7,,3,548.4564
s8,,3,548.4564
s0,,4,548.5854
s2,,4,548.5854
s1,,5,559.3910
s3,,5,559.3910
s22,,6,585.3978
s23,,6,585.3978
s24,,7,636.9414
s25,,7,636.9414
s14,,8,1261.2076
s11,,9,1374.1906
s26,,9,1374.1906
