var,size,bit,cluster,score
cos12,32,10,0,0
cos12,32,9,0,0
cos12_reg,32,10,0,0
cos12_reg,32,9,0,0
cos_theta2,32,4,0,0
cos_theta2,32,6,0,0
cos_theta2,32,7,0,0
cos_theta2_reg,32,4,0,0
cos_theta2_reg,32,6,0,0
cos_theta2_reg,32,7,0,0
part_1,32,10,0,0
part_1,32,9,0,0
part_1_reg,32,10,0,0
part_1_reg,32,9,0,0
part_y,32,24,0,0
part_y,32,27,0,0
part_y_reg,32,24,0,0
part_y_reg,32,27,0,0
sin12,32,11,0,0
sin12_reg,32,11,0,0
theta1_in,32,11,0,0
theta1_in,32,13,0,0
theta1_in,32,15,0,0
theta1_in,32,16,0,0
theta1_num,32,23,0,0
theta1_num,32,24,0,0
theta1_num,32,28,0,0
theta1_num,32,29,0,0
theta1_num,32,30,0,0
xy_sum,32,18,0,0
cos12,32,12,0,2
cos12_reg,32,12,0,2
cos_theta2,32,8,0,2
cos_theta2_reg,32,8,0,2
part_1,32,12,0,2
part_1_reg,32,12,0,2
part_x,32,27,0,2
part_x_reg,32,27,0,2
x_sqr,32,18,0,2
x_sqr_reg,32,18,0,2
cos12,32,16,0,4
cos12_reg,32,16,0,4
sin12,32,10,0,4
sin12_reg,32,10,0,4
sin_theta2,32,5,0,4
sin_theta2,32,6,0,4
sin_theta2_reg,32,5,0,4
sin_theta2_reg,32,6,0,4
theta2_in,32,10,0,4
theta1_in,32,9,0,6
sin12,32,12,0,8
sin12_reg,32,12,0,8
y_sqr,32,30,0,8
y_sqr_reg,32,30,0,8
part_1,32,16,0,10
part_1_reg,32,16,0,10
sin12,32,15,0,10
sin12_reg,32,15,0,10
sin_theta2,32,9,0,12
sin_theta2_reg,32,9,0,12
x_sqr,32,20,0,16
x_sqr_reg,32,20,0,16
part_1,32,19,0,18
part_1_reg,32,19,0,18
xy_sum,32,25,0,18
y_sqr,32,24,0,18
y_sqr_reg,32,24,0,18
cos12,32,15,0,20
cos12_reg,32,15,0,20
part_x,32,30,0,20
part_x_reg,32,30,0,20
theta2_num,32,25,0,20
sin_theta2,32,13,0,22
sin_theta2_reg,32,13,0,22
theta2_num,32,21,0,26
x_sqr,32,30,0,26
x_sqr_reg,32,30,0,26
theta2_num,32,26,0,28
x_sqr,32,21,0,28
x_sqr,32,27,0,28
x_sqr_reg,32,21,0,28
x_sqr_reg,32,27,0,28
cos12,32,14,0,30
cos12_reg,32,14,0,30
part_1,32,14,0,30
part_1_reg,32,14,0,30
sin_theta2,32,14,0,30
sin_theta2_reg,32,14,0,30
theta2_num,32,28,0,30
x_sqr,32,25,0,30
x_sqr_reg,32,25,0,30
