var,size,bit,cluster,score
cos12,32,10,0,0.0000
cos12,32,9,0,0.0000
cos12_reg,32,10,0,0.0000
cos12_reg,32,9,0,0.0000
cos_theta2,32,4,0,0.0000
cos_theta2,32,6,0,0.0000
cos_theta2,32,7,0,0.0000
cos_theta2_reg,32,4,0,0.0000
cos_theta2_reg,32,6,0,0.0000
cos_theta2_reg,32,7,0,0.0000
part_1,32,10,0,0.0000
part_1,32,9,0,0.0000
part_1_reg,32,10,0,0.0000
part_1_reg,32,9,0,0.0000
part_y,32,24,0,0.0000
part_y,32,27,0,0.0000
part_y_reg,32,24,0,0.0000
part_y_reg,32,27,0,0.0000
sin12,32,11,0,0.0000
sin12_reg,32,11,0,0.0000
theta1_in,32,11,0,0.0000
theta1_in,32,13,0,0.0000
theta1_in,32,15,0,0.0000
theta1_in,32,16,0,0.0000
theta1_num,32,23,0,0.0000
theta1_num,32,24,0,0.0000
theta1_num,32,28,0,0.0000
theta1_num,32,29,0,0.0000
theta1_num,32,30,0,0.0000
xy_sum,32,18,0,0.0000
cos12,32,12,0,1.6931
cos12_reg,32,12,0,1.6931
cos_theta2,32,8,0,1.6931
cos_theta2_reg,32,8,0,1.6931
part_1,32,12,0,1.6931
part_1_reg,32,12,0,1.6931
part_x,32,27,0,1.6931
part_x_reg,32,27,0,1.6931
x_sqr,32,18,0,1.6931
x_sqr_reg,32,18,0,1.6931
cos12,32,16,0,2.3863
cos12_reg,32,16,0,2.3863
sin12,32,10,0,2.3863
sin12_reg,32,10,0,2.3863
sin_theta2,32,5,0,2.3863
sin_theta2,32,6,0,2.3863
sin_theta2_reg,32,5,0,2.3863
sin_theta2_reg,32,6,0,2.3863
theta1_in,32,9,0,2.7918
theta2_in,32,10,1,3.3863
sin12,32,12,1,4.4849
sin12_reg,32,12,1,4.4849
y_sqr,32,30,1,4.4849
y_sqr_reg,32,30,1,4.4849
cos12,32,0,1,5.0431
cos12,32,1,1,5.0431
cos12,32,11,1,5.0431
cos12,32,19,1,5.0431
cos12,32,2,1,5.0431
cos12,32,20,1,5.0431
cos12,32,21,1,5.0431
cos12,32,22,1,5.0431
cos12,32,23,1,5.0431
cos12,32,24,1,5.0431
cos12,32,25,1,5.0431
