x,y,theta1,theta2
   2228224,   1900544,        16,     51456
    720896,   1540096,      1489,     41041
   1835008,    557056,      2868,     41511
   1900544,   1114112,      2129,      3968
   2457600,   1409024,      1553,     50496
    786432,   1736704,      1521,     19584
   1114112,   1146880,      3093,      9913
   2424832,   2523136,      3125,     51360
   1572864,    458752,      1232,     32416
    458752,   1605632,      2386,     47639
   2588672,   1540096,      2450,     44589
   2555904,     32768,      1521,     23658
   1540096,   3112960,       848,     33888
   2359296,   1867776,      1553,     38443
   2293760,   3145728,      1649,     24423
   1769472,   1900544,      1424,     47639
   1212416,    950272,      1777,     26256
   1146880,    294912,      3253,     18654
   1933312,   1802240,      2611,      5521
    294912,   2260992,      1745,     14035
    819200,   2031616,      2643,     40296
    294912,    393216,      2226,      6405
    393216,    688128,     10904,     52704
   3244032,   2129920,      5157,     41377
   1048576,   1048576,      1232,     50432
   2850816,   1638400,      2996,     26610
   1343488,   2523136,      1392,     42046
    983040,   2392064,      1713,      9805
   1605632,    393216,      2290,     28374
   1703936,   2490368,      2162,     46250
   2785280,     32768,      1553,     22167
   1966080,    294912,       752,     30700
   1769472,    425984,      1649,     43703
   2850816,     98304,      2162,     27395
   1638400,   2097152,       912,     12746
   2588672,   1212416,      2033,      3073
   2031616,    983040,      1008,      9805
   2129920,    425984,      1553,     43473
    557056,   2719744,      1745,     14035
   2686976,    196608,      2162,     32531
    917504,   2129920,      1136,     46509
    458752,   1572864,      1905,     34591
    360448,   1310720,      3157,     47639
   1867776,   2686976,      2996,     38755
    557056,    393216,      1553,     45112
    917504,   1769472,      6850,     46250
   2392064,   2359296,      2290,     43109
   1867776,   2883584,      1456,     25852
    884736,   2621440,      1649,     46250
   1212416,    819200,      1553,     34296
   2654208,   1572864,      3318,     28833
   1900544,    917504,      1521,     46735
   2752512,         0,      2065,     27092
   2850816,   3178496,       848,     36865
   2752512,   1998848,      1200,     19584
    425984,   1081344,      1392,      9913
   2752512,   2031616,      5157,     11414
    131072,   1638400,      1296,     49150
    294912,   3047424,      2097,     47155
    327680,   2686976,      1200,     50944
   1245184,   1605632,      1232,     44491
    983040,   2883584,      2354,     38339
   1310720,   2392064,      1617,     11874
   2490368,    229376,      2129,     41108
    819200,   2162688,      1360,     42679
   2293760,   1245184,      2001,     35576
   2293760,   1474560,      1777,     23366
    229376,   1146880,      1713,     41243
   3047424,   2719744,      3833,      9805
   1048576,   1114112,      1168,     35684
   2654208,    229376,      3414,     20366
   3178496,   1933312,       880,     51200
   3112960,   2686976,      1168,      9805
   1540096,   1441792,      1136,     27739
   2752512,    360448,      2482,     27222
    393216,   2424832,      1104,     32569
    786432,    917504,      2065,     49150
   2949120,   1966080,      3736,     50272
   1015808,    262144,      1232,     19470
    589824,   2785280,      2996,     25169
   1671168,   1802240,      1969,     14933
   2097152,   1769472,      2129,     48957
   1048576,    917504,      1649,     38374
   1671168,   2621440,      3607,     35756
    655360,    229376,      1713,     42413
    589824,   2621440,      6067,     45731
   2031616,   2850816,      1521,     47639
    425984,   1048576,      1296,     32108
     65536,    163840,      4801,     16327
   2850816,   1540096,       912,     58846
   2490368,   3047424,      1168,     51200
   1769472,   1409024,      1104,     37676
   1703936,   2293760,      2194,     42811
   2686976,    557056,      1713,     10437
    819200,   2228224,       816,     38339
    163840,   1179648,      2097,     25169
   2162688,   1048576,      4672,     51456
   1900544,    819200,      1745,     18535
   2818048,   1998848,      1841,     33289
    131072,    262144,      1424,     42280
