statement, rae
s0, 0.00000000
s1, 8454.63000000
s2, 8192.48000000
s3, 8454.63000000
s4, 8585.65000000
s5, 5046.51800000
s6, 8585.65000000
s7, 8651.21000000
s8, 8651.21000000
s9, 8585.65000000
s10, 5046.51800000
s11, 8126.97000000
s12, 8520.17800000
s13, 8520.17800000
s14, 8552.97000000
s15, 5046.51800000
s16, 8585.65000000
s17, 5046.51800000
s18, 8585.65000000
s19, 8651.21000000
s20, 8651.21000000
s21, 8585.65000000
s22, 0.00000000
s23, 8421.79000000
s24, 16716.30000000
s25, 16716.30000000
s26, 16718.80000000
s27, 16716.90000000
s28, 15598.03600000
s29, 8585.75000000
s30, 0.00000000
s31, 0.00000000
s32, 16716.90000000
s33, 16716.90000000
s34, 8126.97000000
s35, 7274.49600000
s36, 0.01559490
s37, 0.00000000
s38, 4325.49800000
s39, 4325.37600000
s40, 5144.77000000
s41, 0.00000000
s42, 5111.80800000
s43, 8651.25000000
s44, 0.00000000
s45, 8520.16000000
s46, 16711.60800000
s47, 0.00000000
s48, 0.00000000
s49, 0.00000000
s50, 0.00000000
s51, 0.00000000
s52, 0.00000000
s53, 0.00000000
s54, 0.00000000
s55, 0.00000000
s56, 0.00000000
s57, 0.00000000
s58, 8520.16000000
s59, 0.00000000
s60, 0.00000000
s61, 0.00000000
s62, 0.00000000
s63, 8520.16000000
s64, 8356.34900000
s65, 16711.60800000
s66, 8356.34900000
s67, 0.00000000
s68, 8520.16000000
s69, 8520.16800000
s70, 16717.70000000
s71, 8520.16000000
s72, 0.00000000
s73, 8520.16000000
