statement, rae
s0, 12941.13200000
s1, 13371.40000000
s2, 12941.13200000
s3, 13371.40000000
s4, 12439.30000000
s5, 8202.39200000
s6, 12439.30000000
s7, 15778.53200000
s8, 15778.53200000
s9, 12439.30000000
s10, 8202.39200000
s11, 13273.33300000
s12, 13155.23200000
s13, 13155.23200000
s14, 12724.10000000
s15, 8202.39200000
s16, 12439.30000000
s17, 8202.39200000
s18, 12439.20000000
s19, 15778.53200000
s20, 15778.53200000
s21, 12439.30000000
s22, 0.20063800
s23, 0.20063800
s24, 0.38070500
s25, 0.38070500
s26, 0.50000000
s27, 0.00000000
s28, 0.00000000
s29, 0.00000000
s30, 0.00000000
s31, 0.00000000
s32, 0.00000000
s33, 0.00000000
s34, 0.00000000
s35, 0.00000000
s36, 0.00000000
s37, 0.00000000
s38, 0.00000000
s39, 0.00000000
s40, 0.00000000
s41, 0.00000000
s42, 0.00000000
s43, 0.00000000
s44, 0.00000000
s45, 0.00000000
s46, 0.00000000
s47, 0.00000000
s48, 0.00000000
s49, 0.00000000
s50, 0.00000000
s51, 0.00000000
s52, 0.00000000
s53, 0.00000000
s54, 0.00000000
s55, 0.00000000
s56, 0.00000000
s57, 0.00000000
s58, 0.00000000
s59, 0.00000000
s60, 0.00000000
s61, 0.00000000
s62, 0.00000000
s63, 0.00000000
s64, 0.00000000
s65, 0.00000000
s66, 0.00000000
s67, 0.00000000
s68, 0.00000000
s69, 0.00000000
s70, 0.00000000
s71, 0.00000000
s72, 0.00000000
s73, 0.00000000
