unsigned int x,unsigned int y,unsigned int theta1,unsigned int theta2
2428252568,2303050658,     16077,     25123
 798265622,1923305547,      3093,     50720
3764779856,2806047717,      2386,      9696
2591481058, 897247734,      1617,     16394
3848777175,4198511443,       272,     46055
1900389724, 799289553,     12959,     18535
3531914234,4257530535,     23905,      3968
3140567974,2477702977,      3446,     12997
2792870148,2353836514,      5871,      3694
 780820014, 989948449,       880,      4697
3683193479,1629806647,      2643,      8018
4219507578,1992324001,      3736,     50624
1641572847,3570872895,      5384,     25030
4085311472,3530077257,     38725,     15783
 758594670,2341247296,      3446,     33327
 930242554, 132038958,     13202,     44360
4162529737,3193156329,      7144,     17682
 870632935, 833487509,     12821,     42977
 890888759, 349185455,      5546,     14340
 220352709,2743598569,      7571,     33925
1931697825,  58552162,       656,      8278
2289561809,1229339412,     12855,     44163
1644486412,1354007221,     13516,     43966
3633416399,3783223465,      4866,     15920
3431196532,1190854232,     14785,     16527
1134074287,2050939750,      2803,     47188
1129226641, 655363677,      5774,     26077
2769512430,1809256673,      3865,     43109
3763266849, 350786012,      3093,     31057
2389437852,1206587376,      3318,     42346
  29393785,3316407101,      4543,     39854
3926428760,1248786109,      4963,     26566
1420560654, 165414013,     22184,     42977
2081782987,2379487203,      1745,     44884
1299011450,2280885364,     11074,     50111
 110416579,1534514637,      3962,     44884
4041511062,1332254530,     28008,     40229
3146823165,1451133913,     15141,     28667
1783733517,4172349983,     11584,     40024
1961794282,3509739406,     30778,     23415
2148176628,3047915565,      1296,     34222
3143913514,4168231348,      1841,     48283
2643756211,2672734140,      8528,     27696
 708708957, 734491282,     21010,     16920
3169456117,2588404112,      3414,     50688
1891118528,2092787654,      2482,     40093
3937357373,1219084772,      7276,     27867
2458060357,4118229388,      2675,     27567
 395816227,2350489780,     18789,     44295
2481040937, 928339625,       688,     21177
2977983581,  36848848,      3157,     23268
 263863258, 930599928,      4543,     11600
  11397584,1379888500,       176,     33589
3217643187,1759316297,     14536,     23415
 362291384, 562035161,     14678,     35067
3026536713, 916847733,      6490,     26742
3450342684,1486879962,      4026,     31993
