token,err
br0_0,0.00000000
br0_1,0.00000000
br0_2,0.00000000
br0_3,0.00000000
br0_4,0.00000000
br0_5,0.00000000
br0_6,0.00000000
br0_7,0.00000297
br0_8,0.00000296
br0_9,0.00000685
br0_10,0.00000754
br0_11,0.00003080
br0_12,0.00057825
br0_13,0.00161518
br0_14,0.00150785
br0_15,0.00482090
br0_16,0.00989953
br0_17,0.01339373
br0_18,0.02917757
br0_19,0.04312661
br0_20,0.06776574
br0_21,0.08406770
br0_22,0.10398770
br0_23,0.15022328
br0_24,0.19018025
br0_25,0.08005600
br0_26,0.09897821
br0_27,0.13095963
br0_28,0.17016193
br0_29,0.19148866
br0_30,0.07491057
br0_31,0.00000000
br1_0,0.00000000
br1_1,0.00000000
br1_2,0.00000000
br1_3,0.00000000
br1_4,0.00000000
br1_5,0.00000000
br1_6,0.00000000
br1_7,0.00000296
br1_8,0.00000009
br1_9,0.00000488
br1_10,0.00001405
br1_11,0.00001620
br1_12,0.00145548
br1_13,0.00032394
br1_14,0.00176069
br1_15,0.00369141
br1_16,0.01117379
br1_17,0.01394244
br1_18,0.02672738
br1_19,0.03887901
br1_20,0.07134290
br1_21,0.08540533
br1_22,0.11021321
br1_23,0.14564473
br1_24,0.18828214
br1_25,0.08000219
br1_26,0.09767830
br1_27,0.12327471
br1_28,0.16136127
br1_29,0.19040507
br1_30,0.07642035
br1_31,0.00000000
br2_0,0.00000000
br2_1,0.00000000
br2_2,0.00000000
br2_3,0.00000001
br2_4,0.00000002
br2_5,0.00000004
br2_6,0.00000009
br2_7,0.00000014
br2_8,0.00050015
br2_9,0.00050018
br2_10,0.00300032
br2_11,0.00700034
br2_12,0.01450034
br2_13,0.02950009
br2_14,0.04899975
br2_15,0.05449981
br2_16,0.05699973
br2_17,0.01849990
br2_18,0.05899970
br2_19,0.00000000
br2_20,0.00000000
br2_21,0.00000000
br2_22,0.00000000
br2_23,0.00000000
br2_24,0.00000000
br2_25,0.00000000
br2_26,0.00000000
br2_27,0.00000000
br2_28,0.00000000
br2_29,0.00000000
br2_30,0.00000000
br2_31,0.00000000
br3_0,0.00000000
br3_1,0.00000000
br3_2,0.00000000
br3_3,0.00000002
br3_4,0.00000001
br3_5,0.00050003
br3_6,0.00000008
br3_7,0.00050006
br3_8,0.00100013
br3_9,0.00200014
br3_10,0.00250022
br3_11,0.00700023
br3_12,0.01000043
br3_13,0.02350030
br3_14,0.03599990
br3_15,0.04299981
br3_16,0.03999995
br3_17,0.02999991
br3_18,0.02949992
br3_19,0.00000000
br3_20,0.00000000
br3_21,0.00000000
br3_22,0.00000000
br3_23,0.00000000
br3_24,0.00000000
br3_25,0.00000000
br3_26,0.00000000
br3_27,0.00000000
br3_28,0.00000000
br3_29,0.00000000
br3_30,0.00000000
br3_31,0.00050000
br4_0,0.00000000
br4_1,0.00000000
br4_2,0.00000000
br4_3,0.00000000
br4_4,0.00000000
br4_5,0.00000000
br4_6,0.00000000
br4_7,0.00000000
br4_8,0.00000000
br4_9,0.00000000
br4_10,0.00000000
br4_11,0.00000000
br4_12,0.00000000
br4_13,0.00000000
br4_14,0.00000000
br4_15,0.00000000
br4_16,0.00000001
br4_17,0.00000000
br4_18,0.00000001
br4_19,0.00000002
br4_20,0.00000003
br4_21,0.00000005
br4_22,0.00000010
br4_23,0.00050016
br4_24,0.00050026
br4_25,0.00100031
br4_26,0.00300051
br4_27,0.00700063
br4_28,0.01500059
br4_29,0.03400022
br4_30,0.06899910
br4_31,0.11049733
br5_0,0.00000000
br5_1,0.00000000
br5_2,0.00000000
br5_3,0.00000000
br5_4,0.00000000
br5_5,0.00000000
br5_6,0.00000000
br5_7,0.00000000
br5_8,0.00000000
br5_9,0.00000000
br5_10,0.00000000
br5_11,0.00000000
br5_12,0.00000000
br5_13,0.00000000
br5_14,0.00000000
br5_15,0.00000001
br5_16,0.00000000
br5_17,0.00000001
br5_18,0.00000002
br5_19,0.00000001
br5_20,0.00000003
br5_21,0.00000006
br5_22,0.00050008
br5_23,0.00000014
br5_24,0.00050021
br5_25,0.00150031
br5_26,0.00200055
br5_27,0.00450063
br5_28,0.01200057
br5_29,0.03100039
br5_30,0.06549922
br5_31,0.12649686
br6_0,0.00000000
br6_1,0.00000000
br6_2,0.00000001
br6_3,0.00000001
br6_4,0.00000002
br6_5,0.00050003
br6_6,0.00000010
br6_7,0.00050008
br6_8,0.00100014
br6_9,0.00200014
br6_10,0.00200025
br6_11,0.00700025
br6_12,0.01000042
br6_13,0.02350029
br6_14,0.03549991
br6_15,0.04999950
br6_16,0.04249986
br6_17,0.04799986
br6_18,0.03599970
br6_19,0.05149982
br6_20,0.00000000
br6_21,0.00000000
br6_22,0.00000000
br6_23,0.00000000
br6_24,0.00000000
br6_25,0.00000000
br6_26,0.00000000
br6_27,0.00000000
br6_28,0.00000000
br6_29,0.00000000
br6_30,0.00000000
br6_31,0.00000000
br7_0,0.00000002
br7_1,0.00000003
br7_2,0.00000005
br7_3,0.00000012
br7_4,0.00000019
br7_5,0.00100020
br7_6,0.00250021
br7_7,0.00450034
br7_8,0.01100039
br7_9,0.02450019
br7_10,0.04699980
br7_11,0.06899913
br7_12,0.05749969
br7_13,0.06299967
br7_14,0.06699967
br7_15,0.00000000
br7_16,0.00000000
br7_17,0.00000000
br7_18,0.00000000
br7_19,0.00000000
br7_20,0.00000000
br7_21,0.00000000
br7_22,0.00000000
br7_23,0.00000000
br7_24,0.00000000
br7_25,0.00000000
br7_26,0.00000000
br7_27,0.00000000
br7_28,0.00000000
br7_29,0.00000000
br7_30,0.00000000
br7_31,0.00000000
br8_0,0.00000001
br8_1,0.00000002
br8_2,0.00050004
br8_3,0.00050005
br8_4,0.00000011
br8_5,0.00050010
br8_6,0.00500013
br8_7,0.00500029
br8_8,0.00900035
br8_9,0.01650026
br8_10,0.03000018
br8_11,0.04499980
br8_12,0.03700003
br8_13,0.04699975
br8_14,0.05099963
br8_15,0.00000000
br8_16,0.00000000
br8_17,0.00000000
br8_18,0.00000000
br8_19,0.00000000
br8_20,0.00000000
br8_21,0.00000000
br8_22,0.00000000
br8_23,0.00000000
br8_24,0.00000000
br8_25,0.00000000
br8_26,0.00000000
br8_27,0.00000000
br8_28,0.00000000
br8_29,0.00000000
br8_30,0.00000000
br8_31,0.00050000
br9_0,0.00000000
br9_1,0.00000000
br9_2,0.00000000
br9_3,0.00000000
br9_4,0.00000000
br9_5,0.00000000
br9_6,0.00000000
br9_7,0.00000297
br9_8,0.00000296
br9_9,0.00000685
br9_10,0.00000754
br9_11,0.00003080
br9_12,0.00057825
br9_13,0.00161518
br9_14,0.00150785
br9_15,0.00482090
br9_16,0.00989953
br9_17,0.01339373
br9_18,0.02917757
br9_19,0.04312661
br9_20,0.06776574
br9_21,0.08406770
br9_22,0.10398770
br9_23,0.15022328
br9_24,0.19018025
br9_25,0.08005600
br9_26,0.09897821
br9_27,0.13095963
br9_28,0.17016193
br9_29,0.19148866
br9_30,0.07491057
br9_31,0.00000000
br10_0,0.00000000
br10_1,0.00000000
br10_2,0.00000000
br10_3,0.00000000
br10_4,0.00000000
br10_5,0.00000000
br10_6,0.00000000
br10_7,0.00000296
br10_8,0.00000009
br10_9,0.00000488
br10_10,0.00001405
br10_11,0.00001620
br10_12,0.00145548
br10_13,0.00032394
br10_14,0.00176069
br10_15,0.00369141
br10_16,0.01117379
br10_17,0.01394244
br10_18,0.02672738
br10_19,0.03887901
br10_20,0.07134290
br10_21,0.08540533
br10_22,0.11021321
br10_23,0.14564473
br10_24,0.18828214
br10_25,0.08000219
br10_26,0.09767830
br10_27,0.12327471
br10_28,0.16136127
br10_29,0.19040507
br10_30,0.07642035
br10_31,0.00000000
br11_0,0.00000000
br11_1,0.00000000
br11_2,0.00000000
br11_3,0.00000000
br11_4,0.00000000
br11_5,0.00000000
br11_6,0.00000000
br11_7,0.00000000
br11_8,0.00000000
br11_9,0.00000000
br11_10,0.00001020
br11_11,0.00002146
br11_12,0.00132341
br11_13,0.00073010
br11_14,0.00140100
br11_15,0.00376626
br11_16,0.00680657
br11_17,0.01417296
br11_18,0.02661948
br11_19,0.03842510
br11_20,0.06914867
br11_21,0.09512835
br11_22,0.11171414
br11_23,0.13171856
br11_24,0.19188886
br11_25,0.07713415
br11_26,0.09500224
br11_27,0.12227020
br11_28,0.15356640
br11_29,0.18297488
br11_30,0.07277137
br11_31,0.00000000
