token,size,bit,cluster,score
br0,9,8,0,0
br12,1,0,0,0
br14,10,0,0,0
br14,10,9,0,0
br15,10,9,0,0
br16,1,0,0,0
br17,10,9,0,0
br18,11,10,0,0
br18,11,9,0,0
br19,11,10,0,0
br19,11,9,0,0
br20,11,10,0,0
br20,11,9,0,0
br21,11,10,0,0
br21,11,9,0,0
br22,11,10,0,0
br22,11,6,0,0
br22,11,7,0,0
br22,11,8,0,0
br22,11,9,0,0
br23,11,1,0,0
br23,11,10,0,0
br23,11,8,0,0
br23,11,9,0,0
br24,11,10,0,0
br24,11,7,0,0
br24,11,8,0,0
br24,11,9,0,0
br25,11,10,0,0
br25,11,6,0,0
br25,11,7,0,0
br25,11,8,0,0
br25,11,9,0,0
br27,11,10,0,0
br27,11,8,0,0
br27,11,9,0,0
br28,11,10,0,0
br28,11,8,0,0
br28,11,9,0,0
br3,1,0,0,0
br30,11,10,0,0
br30,11,7,0,0
br30,11,8,0,0
br30,11,9,0,0
br31,11,10,0,0
br31,11,8,0,0
br31,11,9,0,0
br32,8,0,0,0
br33,1,0,0,0
br5,10,0,0,0
br5,10,9,0,0
br6,10,9,0,0
br7,1,0,0,0
br8,10,9,0,0
br9,9,8,0,0
br24,11,1,0,1
br25,11,1,0,1
br1,9,1,0,2
br11,9,1,0,2
br14,10,1,0,2
br21,11,0,0,2
br21,11,1,0,2
br24,11,6,0,2
br30,11,1,0,2
br30,11,6,0,2
br9,9,0,0,2
br11,9,0,0,3
br27,11,0,0,3
br10,9,0,0,4
br21,11,2,0,4
br22,11,0,0,4
br23,11,0,0,4
br27,11,1,0,4
br28,11,1,0,4
br13,9,0,0,5
br15,10,0,0,5
br17,10,0,0,5
br19,11,0,0,5
br22,11,1,0,5
br13,9,1,0,6
br15,10,1,0,6
br17,10,1,0,6
br19,11,1,0,6
br10,9,1,0,7
br31,11,1,0,8
br0,9,0,0,9
br21,11,3,0,9
br5,10,1,0,9
br22,11,2,0,10
br14,10,2,0,11
br24,11,0,0,11
br4,9,2,0,11
br6,10,2,0,11
br9,9,1,0,11
br2,9,0,0,12
br23,11,2,0,12
br25,11,0,0,14
br28,11,3,0,14
br22,11,5,0,15
br28,11,2,0,15
br24,11,4,0,16
br1,9,0,0,17
br2,9,1,0,18
br20,11,0,0,18
br20,11,1,0,18
br18,11,1,0,19
br8,10,1,0,19
br4,9,1,0,20
br6,10,1,0,20
br25,11,2,0,21
br23,11,3,0,22
br24,11,3,0,22
br28,11,0,0,22
br24,11,2,0,23
br24,11,5,0,23
br30,11,0,0,25
br31,11,0,0,25
br25,11,5,0,28
br18,11,0,0,29
br22,11,4,0,29
br25,11,4,0,29
br4,9,0,0,29
br6,10,0,0,29
br8,10,0,0,29
br20,11,3,0,33
br32,8,1,0,33
br21,11,4,0,34
br27,11,7,0,37
br0,9,1,0,40
br5,10,2,0,40
br30,11,2,0,44
br30,11,4,0,45
br30,11,5,0,51
br32,8,2,0,53
br11,9,2,0,55
br18,11,3,0,55
br8,10,3,0,55
br22,11,3,0,56
br25,11,3,0,56
br13,9,2,0,59
br15,10,2,0,59
br10,9,2,0,66
br23,11,7,0,66
br28,11,7,0,66
br30,11,3,0,78
br27,11,2,0,85
br17,10,2,0,89
br19,11,2,0,89
br28,11,4,0,93
br23,11,4,0,98
br31,11,2,0,100
br31,11,7,0,103
br27,11,3,0,149
br17,10,3,0,158
br19,11,3,0,158
br31,11,3,0,163
br28,11,5,0,176
br23,11,5,0,186
br10,9,3,0,190
br11,9,3,0,256
br13,9,3,0,257
br15,10,3,0,257
