token,size,bit,cluster,score
br0,9,8,0,0.0000
br12,1,0,0,0.0000
br14,10,0,0,0.0000
br14,10,9,0,0.0000
br15,10,9,0,0.0000
br16,1,0,0,0.0000
br17,10,9,0,0.0000
br18,11,10,0,0.0000
br18,11,9,0,0.0000
br19,11,10,0,0.0000
br19,11,9,0,0.0000
br20,11,10,0,0.0000
br20,11,9,0,0.0000
br21,11,10,0,0.0000
br21,11,9,0,0.0000
br22,11,10,0,0.0000
br22,11,6,0,0.0000
br22,11,7,0,0.0000
br22,11,8,0,0.0000
br22,11,9,0,0.0000
br23,11,1,0,0.0000
br23,11,10,0,0.0000
br23,11,8,0,0.0000
br23,11,9,0,0.0000
br24,11,10,0,0.0000
br24,11,7,0,0.0000
br24,11,8,0,0.0000
br24,11,9,0,0.0000
br25,11,10,0,0.0000
br25,11,6,0,0.0000
br25,11,7,0,0.0000
br25,11,8,0,0.0000
br25,11,9,0,0.0000
br27,11,10,0,0.0000
br27,11,8,0,0.0000
br27,11,9,0,0.0000
br28,11,10,0,0.0000
br28,11,8,0,0.0000
br28,11,9,0,0.0000
br3,1,0,0,0.0000
br30,11,10,0,0.0000
br30,11,7,0,0.0000
br30,11,8,0,0.0000
br30,11,9,0,0.0000
br31,11,10,0,0.0000
br31,11,8,0,0.0000
br31,11,9,0,0.0000
br32,8,0,0,0.0000
br33,1,0,0,0.0000
br5,10,0,0,0.0000
br5,10,9,0,0.0000
br6,10,9,0,0.0000
br7,1,0,0,0.0000
br8,10,9,0,0.0000
br9,9,8,0,0.0000
br24,11,1,0,1.0000
br25,11,1,0,1.0000
br1,9,1,0,1.6931
br11,9,1,0,1.6931
br21,11,0,0,1.6931
br21,11,1,0,1.6931
br14,10,1,0,2.0000
br24,11,6,0,2.0000
br30,11,1,0,2.0000
br30,11,6,0,2.0000
br9,9,0,0,2.0000
br22,11,0,0,2.3863
br23,11,0,0,2.3863
br28,11,1,0,2.3863
br11,9,0,0,2.6931
br27,11,0,0,2.6931
br27,11,1,0,3.0986
br22,11,2,0,3.3026
br21,11,2,0,3.3863
br22,11,1,0,3.3863
br10,9,0,0,3.6931
br13,9,0,0,4.3863
br15,10,0,0,4.3863
br17,10,0,0,4.3863
br19,11,0,0,4.3863
br13,9,1,0,4.7918
br15,10,1,0,4.7918
br17,10,1,0,4.7918
br19,11,1,0,4.7918
br1,9,0,0,5.4012
br10,9,1,0,5.4849
br31,11,1,0,5.4849
br2,9,1,0,5.8067
br20,11,0,0,5.8067
br20,11,1,0,5.8067
br22,11,5,0,5.9890
br24,11,0,0,6.3322
br4,9,2,0,6.3322
br6,10,2,0,6.3322
br25,11,0,0,6.4012
br2,9,0,0,6.7377
br23,11,2,0,6.7377
br18,11,1,0,6.8067
br8,10,1,0,6.8067
br24,11,5,0,6.8828
br0,9,0,0,6.8904
br5,10,1,0,6.8904
br14,10,2,0,6.9957
br9,9,1,0,6.9957
br4,9,1,0,7.4998
br6,10,1,0,7.4998
br21,11,3,0,7.7726
br24,11,4,0,8.0943
br28,11,3,0,8.4308
br25,11,5,0,9.5539
br28,11,2,0,9.7185
br24,11,3,0,10.0403
br28,11,0,0,10.0403
br22,11,4,0,10.3969
br25,11,4,0,10.3969
br25,11,2,0,11.1738
br18,11,0,0,12.1389
br4,9,0,0,12.1389
br6,10,0,0,12.1389
br8,10,0,0,12.1389
br27,11,7,0,12.7281
br30,11,0,0,12.7334
br31,11,0,0,12.7334
br23,11,3,0,13.1389
br22,11,3,0,13.5750
br25,11,3,0,13.5750
br24,11,2,0,13.9315
br20,11,3,0,14.6334
br23,11,7,0,15.1811
br28,11,7,0,15.1811
br30,11,5,0,16.4367
br0,9,1,0,17.9115
br5,10,2,0,17.9115
br32,8,1,0,18.2183
br30,11,4,0,18.4913
br13,9,2,0,19.2978
br15,10,2,0,19.2978
br11,9,2,0,19.4223
br21,11,4,0,19.4319
br20,11,2,0,19.8803
br27,11,2,0,22.4304
br30,11,3,0,23.6152
br10,9,2,0,24.4826
br18,11,3,0,24.6736
br8,10,3,0,24.6736
br30,11,2,0,25.1053
br17,10,2,0,25.8167
br19,11,2,0,25.8167
br2,9,2,0,27.7515
br31,11,7,0,27.9092
br32,8,2,0,28.2935
br31,11,2,0,32.1489
br1,9,2,0,32.6975
br27,11,3,0,33.7309
br18,11,2,0,33.8118
br8,10,2,0,33.8118
br23,11,4,0,36.2120
br28,11,4,0,37.3551
