var,size,bit,cluster,score
abs_gx,11,0,0,0
abs_gx,11,1,0,0
abs_gx,11,10,0,0
abs_gx,11,2,0,0
abs_gx,11,3,0,0
abs_gx,11,4,0,0
abs_gx,11,5,0,0
abs_gx,11,6,0,0
abs_gx,11,7,0,0
abs_gx,11,8,0,0
abs_gx,11,9,0,0
abs_gy,11,0,0,0
abs_gy,11,1,0,0
abs_gy,11,10,0,0
abs_gy,11,2,0,0
abs_gy,11,3,0,0
abs_gy,11,4,0,0
abs_gy,11,5,0,0
abs_gy,11,6,0,0
abs_gy,11,7,0,0
abs_gy,11,8,0,0
abs_gy,11,9,0,0
add_out_1,1,0,0,0
add_out_2,1,0,0,0
add_out_3,1,0,0,0
add_out_4,1,0,0,0
center_1,10,0,0,0
center_1,10,1,0,0
center_1,10,2,0,0
center_1,10,9,0,0
center_2,10,0,0,0
center_2,10,1,0,0
center_2,10,2,0,0
center_2,10,9,0,0
center_3,10,0,0,0
center_3,10,1,0,0
center_3,10,2,0,0
center_3,10,3,0,0
center_3,10,4,0,0
center_3,10,9,0,0
center_4,10,0,0,0
center_4,10,1,0,0
center_4,10,2,0,0
center_4,10,4,0,0
center_4,10,9,0,0
center_rm,9,0,0,0
center_rm,9,1,0,0
center_rm,9,2,0,0
center_tm,9,0,0,0
center_tm,9,1,0,0
center_tm,9,2,0,0
center_tm,9,4,0,0
gx,11,0,0,0
gx,11,1,0,0
gx,11,10,0,0
gx,11,2,0,0
gx,11,9,0,0
gx_2s_comp,11,0,0,0
gx_2s_comp,11,1,0,0
gx_2s_comp,11,10,0,0
gx_2s_comp,11,2,0,0
gx_2s_comp,11,3,0,0
gx_2s_comp,11,4,0,0
gx_2s_comp,11,5,0,0
gx_2s_comp,11,6,0,0
gx_2s_comp,11,7,0,0
gx_2s_comp,11,8,0,0
gx_2s_comp,11,9,0,0
gx_comp,11,0,0,0
gx_comp,11,1,0,0
gx_comp,11,10,0,0
gx_comp,11,2,0,0
gx_comp,11,3,0,0
gx_comp,11,4,0,0
gx_comp,11,5,0,0
gx_comp,11,6,0,0
gx_comp,11,7,0,0
gx_comp,11,8,0,0
gx_comp,11,9,0,0
gx_temp,10,0,0,0
gx_temp,10,1,0,0
gx_temp,10,2,0,0
gx_temp,10,9,0,0
gy,11,0,0,0
gy,11,1,0,0
gy,11,10,0,0
gy,11,2,0,0
gy,11,4,0,0
gy,11,9,0,0
gy_2s_comp,11,0,0,0
gy_2s_comp,11,1,0,0
gy_2s_comp,11,10,0,0
gy_2s_comp,11,2,0,0
gy_2s_comp,11,3,0,0
gy_2s_comp,11,4,0,0
gy_2s_comp,11,5,0,0
gy_2s_comp,11,6,0,0
gy_2s_comp,11,7,0,0
gy_2s_comp,11,8,0,0
gy_2s_comp,11,9,0,0
gy_comp,11,0,0,0
gy_comp,11,1,0,0
gy_comp,11,10,0,0
gy_comp,11,2,0,0
gy_comp,11,3,0,0
gy_comp,11,4,0,0
gy_comp,11,5,0,0
gy_comp,11,6,0,0
gy_comp,11,7,0,0
gy_comp,11,8,0,0
gy_comp,11,9,0,0
gy_temp,10,0,0,0
gy_temp,10,1,0,0
gy_temp,10,2,0,0
gy_temp,10,4,0,0
gy_temp,10,9,0,0
p0_p6,9,0,0,0
p0_p6,9,1,0,0
p0_p6,9,2,0,0
p0_p6,9,3,0,0
p1_p7,9,0,0,0
p1_p7,9,1,0,0
p1_p7,9,2,0,0
p1_p7,9,3,0,0
p1_p7,9,8,0,0
p2_p0,9,0,0,0
p2_p0,9,1,0,0
p2_p0,9,2,0,0
p2_p0,9,3,0,0
p2_p8,9,0,0,0
p2_p8,9,1,0,0
p2_p8,9,2,0,0
p2_p8,9,3,0,0
p5_p3,9,0,0,0
p5_p3,9,1,0,0
p5_p3,9,8,0,0
p8_p6,9,0,0,0
p8_p6,9,1,0,0
p8_p6,9,2,0,0
sum,11,0,0,0
sum,11,1,0,0
sum,11,10,0,0
sum,11,2,0,0
sum,11,3,0,0
sum,11,4,0,0
sum,11,5,0,0
sum,11,6,0,0
sum,11,7,0,0
sum,11,8,0,0
sum,11,9,0,0
center_1,10,3,1,5
center_1,10,4,1,5
center_2,10,3,1,5
center_4,10,3,1,5
center_rm,9,3,1,5
center_tm,9,3,1,5
gx,11,3,1,5
gx_temp,10,3,1,5
gy,11,3,1,5
gy_temp,10,3,1,5
p0_p6,9,4,1,5
p2_p8,9,4,1,5
p5_p3,9,2,1,5
p5_p3,9,3,1,5
p8_p6,9,3,1,5
p8_p6,9,4,1,5
p2_p0,9,4,2,18
center_2,10,4,3,23
center_rm,9,4,3,23
gx,11,4,3,23
gx_temp,10,4,3,23
p8_p6,9,5,4,35
gy,11,5,5,45
gy_temp,10,5,5,45
center_3,10,5,6,50
center_4,10,5,6,50
center_tm,9,5,6,50
p0_p6,9,5,6,50
p1_p7,9,4,6,50
p2_p8,9,5,6,50
p2_p0,9,5,7,65
center_1,10,5,8,70
center_2,10,5,8,70
center_rm,9,5,8,70
p5_p3,9,4,8,70
gx,11,5,9,88
gx_temp,10,5,9,88
center_3,10,6,10,122
center_3,10,7,10,122
center_3,10,8,10,122
center_4,10,6,10,122
center_4,10,7,10,122
center_4,10,8,10,122
center_tm,9,6,10,122
center_tm,9,7,10,122
center_tm,9,8,10,122
gy,11,6,10,122
gy,11,7,10,122
gy,11,8,10,122
gy_temp,10,6,10,122
gy_temp,10,7,10,122
gy_temp,10,8,10,122
p1_p7,9,5,10,122
p1_p7,9,6,10,122
p1_p7,9,7,10,122
p0_p6,9,6,11,140
p0_p6,9,7,11,140
p0_p6,9,8,11,140
p2_p8,9,6,11,140
p2_p8,9,7,11,140
p2_p8,9,8,11,140
p2_p0,9,6,12,173
p2_p0,9,7,12,173
p2_p0,9,8,12,173
center_1,10,6,13,178
center_1,10,7,13,178
center_1,10,8,13,178
p5_p3,9,5,13,178
p5_p3,9,6,13,178
p5_p3,9,7,13,178
p8_p6,9,6,14,211
p8_p6,9,7,14,211
p8_p6,9,8,14,211
center_2,10,6,15,230
center_2,10,7,15,230
center_2,10,8,15,230
center_rm,9,6,15,230
center_rm,9,7,15,230
center_rm,9,8,15,230
gx,11,6,16,231
gx,11,7,16,231
gx,11,8,16,231
gx_temp,10,6,16,231
gx_temp,10,7,16,231
gx_temp,10,8,16,231
