var,size,bit,cluster,ssim
center_4,10,5,0,0.479748
gx,11,9,0,1
gy_comp,11,10,0,1
p0_p6,9,5,0,0.50829
gy,11,9,0,1
center_2,10,7,0,0.159002
p8_p6,9,8,0,0.071791
p1_p7,9,3,0,0.713439
p0_p6,9,1,0,0.970486
gy_temp,10,4,0,0.666207
abs_gy,11,6,0,0.9573
gy_comp,11,4,0,0.961593
gy_temp,10,1,0,0.970701
gy,11,4,0,0.666207
gy_temp,10,5,0,0.453166
p1_p7,9,4,0,0.49731
gy_2s_comp,11,8,0,0.999774
gx,11,5,0,0.470877
p1_p7,9,5,0,0.304666
p2_p0,9,3,0,0.892519
add_out_2,1,0,0,1
p5_p3,9,3,0,0.746232
gx_temp,10,2,0,0.931869
center_rm,9,2,0,0.941732
p2_p8,9,4,0,0.72654
gx_2s_comp,11,2,0,0.96793
center_tm,9,5,0,0.479748
center_4,10,8,0,0.047889
abs_gx,11,9,0,1
p2_p0,9,0,0,0.985188
gx_comp,11,9,0,1
center_2,10,4,0,0.716775
p0_p6,9,3,0,0.876334
p5_p3,9,0,0,0.969608
center_2,10,8,0,0.061708
center_1,10,4,0,0.746232
center_3,10,9,0,1
add_out_4,1,0,0,1
gx_temp,10,0,0,0.984711
center_2,10,3,0,0.873159
add_out_3,1,0,0,1
p8_p6,9,2,0,0.953057
p8_p6,9,6,0,0.322426
center_1,10,9,0,1
center_3,10,2,0,0.930689
gx_comp,11,6,0,0.98485
p2_p8,9,8,0,0.054368
center_1,10,7,0,0.171955
sum,11,4,0,0.825217
center_3,10,7,0,0.159476
gy_comp,11,8,0,1
gx_2s_comp,11,8,0,0.999951
p2_p8,9,5,0,0.507724
abs_gx,11,4,0,0.967086
p5_p3,9,6,0,0.171955
gx_temp,10,6,0,0.277037
gx_2s_comp,11,10,0,1
center_2,10,5,0,0.493762
p8_p6,9,7,0,0.170011
p2_p0,9,6,0,0.330149
sum,11,10,0,1
center_1,10,2,0,0.942909
p5_p3,9,4,0,0.527862
center_4,10,3,0,0.85574
gy,11,1,0,0.970701
gy_comp,11,9,0,1
abs_gx,11,1,0,0.974349
center_rm,9,5,0,0.493762
gx_comp,11,0,0,0.990855
gx_temp,10,4,0,0.694152
abs_gy,11,3,0,0.913257
abs_gy,11,4,0,0.924529
gy_2s_comp,11,0,0,0.989672
gy,11,10,0,1
gy_temp,10,9,0,1
sum,11,6,0,0.886667
p2_p0,9,1,0,0.97448
p8_p6,9,4,0,0.748319
center_rm,9,0,0,0.984711
gy_2s_comp,11,3,0,0.944888
gx_comp,11,7,0,0.990071
abs_gx,11,2,0,0.950995
p1_p7,9,7,0,0.055822
center_2,10,9,0,1
abs_gx,11,5,0,0.971279
center_4,10,7,0,0.151684
gy,11,5,0,0.453166
gy_comp,11,7,0,0.987526
abs_gx,11,3,0,0.944336
p5_p3,9,5,0,0.32388
gx,11,1,0,0.971923
gy_comp,11,6,0,0.979031
add_out_1,1,0,0,1
center_2,10,6,0,0.301823
p0_p6,9,0,0,0.984065
center_rm,9,1,0,0.970497
p5_p3,9,7,0,0.073164
gx_comp,11,1,0,0.982056
gx_temp,10,9,0,1
gy_temp,10,6,0,0.266095
p5_p3,9,1,0,0.942909
p2_p0,9,5,0,0.534927
abs_gy,11,1,0,0.97304
center_4,10,1,0,0.967933
p2_p8,9,3,0,0.876319
center_4,10,6,0,0.293046
gx_2s_comp,11,3,0,0.965337
center_1,10,3,0,0.885307
center_tm,9,7,0,0.151684
center_3,10,4,0,0.713439
gx,11,8,0,0.056625
gy_comp,11,2,0,0.968079
gy_2s_comp,11,5,0,0.969219
center_rm,9,3,0,0.873159
sum,11,1,0,0.972544
center_1,10,5,0,0.527862
abs_gy,11,9,0,1
center_3,10,5,0,0.49731
abs_gy,11,7,0,0.969966
sum,11,8,0,0.980617
gx_comp,11,10,0,1
gx,11,10,0,1
p8_p6,9,5,0,0.526821
gx_comp,11,5,0,0.986016
abs_gy,11,5,0,0.948834
gx_temp,10,8,0,0.056625
center_4,10,9,0,1
p2_p8,9,0,0,0.983897
gy,11,3,0,0.832275
p0_p6,9,6,0,0.312697
sum,11,0,0,1
sum,11,2,0,0.921741
p2_p0,9,8,0,0.076021
gy_2s_comp,11,4,0,0.955514
gx_comp,11,3,0,0.974513
gx_temp,10,5,0,0.470877
p0_p6,9,8,0,0.056601
gx_comp,11,2,0,0.974907
gx,11,6,0,0.277037
center_rm,9,7,0,0.159002
center_3,10,1,0,0.966726
center_2,10,2,0,0.941732
gy_2s_comp,11,9,0,1
p2_p8,9,1,0,0.970618
center_1,10,6,0,0.32388
gx_2s_comp,11,1,0,0.98181
p2_p8,9,6,0,0.3119
center_tm,9,0,0,0.98398
gx_2s_comp,11,5,0,0.984934
p1_p7,9,8,0,1
abs_gy,11,2,0,0.940629
center_3,10,0,0,1
gy,11,2,0,0.927763
p1_p7,9,6,0,0.159476
center_4,10,4,0,0.698626
gx_2s_comp,11,4,0,0.9816
gx_comp,11,4,0,0.984491
sum,11,3,0,0.858455
sum,11,7,0,0.87493
p1_p7,9,0,0,0.966726
p2_p0,9,7,0,0.175663
