var,ssim
p2_p8[0],0.983897
p2_p8[1],0.970618
p2_p8[2],0.943519
p2_p8[3],0.876319
p2_p8[4],0.726540
p2_p8[5],0.507724
p2_p8[6],0.311900
p2_p8[7],0.158655
p2_p8[8],0.054368
p2_p0[0],0.985188
p2_p0[1],0.974480
p2_p0[2],0.952786
p2_p0[3],0.892519
p2_p0[4],0.752926
p2_p0[5],0.534927
p2_p0[6],0.330149
p2_p0[7],0.175663
p2_p0[8],0.076021
p8_p6[0],0.985280
p8_p6[1],0.975122
p8_p6[2],0.953057
p8_p6[3],0.891310
p8_p6[4],0.748319
p8_p6[5],0.526821
p8_p6[6],0.322426
p8_p6[7],0.170011
p8_p6[8],0.071791
p0_p6[0],0.984065
p0_p6[1],0.970486
p0_p6[2],0.943524
p0_p6[3],0.876334
p0_p6[4],0.727123
p0_p6[5],0.508290
p0_p6[6],0.312697
p0_p6[7],0.159914
p0_p6[8],0.056601
p5_p3[0],0.969608
p5_p3[1],0.942909
p5_p3[2],0.885307
p5_p3[3],0.746232
p5_p3[4],0.527862
p5_p3[5],0.323880
p5_p3[6],0.171955
p5_p3[7],0.073164
p5_p3[8],1.000000
p1_p7[0],0.966726
p1_p7[1],0.930689
p1_p7[2],0.859481
p1_p7[3],0.713439
p1_p7[4],0.497310
p1_p7[5],0.304666
p1_p7[6],0.159476
p1_p7[7],0.055822
p1_p7[8],1.000000
center_rm[0],0.984711
center_rm[1],0.970497
center_rm[2],0.941732
center_rm[3],0.873159
center_rm[4],0.716775
center_rm[5],0.493762
center_rm[6],0.301823
center_rm[7],0.159002
center_rm[8],0.061708
center_rm[9],1.000000
center_tm[0],0.983980
center_tm[1],0.967933
center_tm[2],0.932161
center_tm[3],0.855740
center_tm[4],0.698626
center_tm[5],0.479748
center_tm[6],0.293046
center_tm[7],0.151684
center_tm[8],0.047889
center_tm[9],1.000000
center_1[0],1.000000
center_1[1],0.969608
center_1[2],0.942909
center_1[3],0.885307
center_1[4],0.746232
center_1[5],0.527862
center_1[6],0.323880
center_1[7],0.171955
center_1[8],0.073164
center_1[9],1.000000
center_2[0],0.984711
center_2[1],0.970497
center_2[2],0.941732
center_2[3],0.873159
center_2[4],0.716775
center_2[5],0.493762
center_2[6],0.301823
center_2[7],0.159002
center_2[8],0.061708
center_2[9],1.000000
center_3[0],1.000000
center_3[1],0.966726
center_3[2],0.930689
center_3[3],0.859481
center_3[4],0.713439
center_3[5],0.497310
center_3[6],0.304666
center_3[7],0.159476
center_3[8],0.055822
center_3[9],1.000000
center_4[0],0.983980
center_4[1],0.967933
center_4[2],0.932161
center_4[3],0.855740
center_4[4],0.698626
center_4[5],0.479748
center_4[6],0.293046
center_4[7],0.151684
center_4[8],0.047889
center_4[9],1.000000
gx_temp[0],0.984711
gx_temp[1],0.971923
gx_temp[2],0.931869
gx_temp[3],0.850661
gx_temp[4],0.694152
gx_temp[5],0.470877
gx_temp[6],0.277037
gx_temp[7],0.143911
gx_temp[8],0.056625
gx_temp[9],1.000000
gy_temp[0],0.983980
gy_temp[1],0.970701
gy_temp[2],0.927763
gy_temp[3],0.832275
gy_temp[4],0.666207
gy_temp[5],0.453166
gy_temp[6],0.266095
gy_temp[7],0.129496
gy_temp[8],0.046048
gy_temp[9],1.000000
add_out_1[0],1.000000
add_out_2[0],1.000000
add_out_3[0],1.000000
add_out_4[0],1.000000
gx[0],0.984711
gx[1],0.971923
gx[2],0.931869
gx[3],0.850661
gx[4],0.694152
gx[5],0.470877
gx[6],0.277037
gx[7],0.143911
gx[8],0.056625
gx[9],1.000000
gx[10],1.000000
gy[0],0.983980
gy[1],0.970701
gy[2],0.927763
gy[3],0.832275
gy[4],0.666207
gy[5],0.453166
gy[6],0.266095
gy[7],0.129496
gy[8],0.046048
gy[9],1.000000
gy[10],1.000000
gx_comp[0],0.990855
gx_comp[1],0.982056
gx_comp[2],0.974907
gx_comp[3],0.974513
gx_comp[4],0.984491
gx_comp[5],0.986016
gx_comp[6],0.984850
gx_comp[7],0.990071
gx_comp[8],1.000000
gx_comp[9],1.000000
gx_comp[10],1.000000
gy_comp[0],0.990158
gy_comp[1],0.978933
gy_comp[2],0.968079
gy_comp[3],0.954196
gy_comp[4],0.961593
gy_comp[5],0.971426
gy_comp[6],0.979031
gy_comp[7],0.987526
gy_comp[8],1.000000
gy_comp[9],1.000000
gy_comp[10],1.000000
gx_2s_comp[0],0.989990
gx_2s_comp[1],0.981810
gx_2s_comp[2],0.967930
gx_2s_comp[3],0.965337
gx_2s_comp[4],0.981600
gx_2s_comp[5],0.984934
gx_2s_comp[6],0.984387
gx_2s_comp[7],0.989707
gx_2s_comp[8],0.999951
gx_2s_comp[9],1.000000
gx_2s_comp[10],1.000000
gy_2s_comp[0],0.989672
gy_2s_comp[1],0.980370
gy_2s_comp[2],0.960402
gy_2s_comp[3],0.944888
gy_2s_comp[4],0.955514
gy_2s_comp[5],0.969219
gy_2s_comp[6],0.978316
gy_2s_comp[7],0.987221
gy_2s_comp[8],0.999774
gy_2s_comp[9],1.000000
gy_2s_comp[10],1.000000
abs_gx[0],0.986850
abs_gx[1],0.974349
abs_gx[2],0.950995
abs_gx[3],0.944336
abs_gx[4],0.967086
abs_gx[5],0.971279
abs_gx[6],0.967319
abs_gx[7],0.980457
abs_gx[8],0.999951
abs_gx[9],1.000000
abs_gx[10],1.000000
abs_gy[0],0.986850
abs_gy[1],0.973040
abs_gy[2],0.940629
abs_gy[3],0.913257
abs_gy[4],0.924529
abs_gy[5],0.948834
abs_gy[6],0.957300
abs_gy[7],0.969966
abs_gy[8],0.999774
abs_gy[9],1.000000
abs_gy[10],1.000000
sum[0],1.000000
sum[1],0.972544
sum[2],0.921741
sum[3],0.858455
sum[4],0.825217
sum[5],0.878001
sum[6],0.886667
sum[7],0.874930
sum[8],0.980617
sum[9],1.000000
sum[10],1.000000
