token,ssim
br0_0,0.969608
br0_1,0.942909
br0_2,0.885307
br0_3,0.746232
br0_4,0.527862
br0_5,0.323880
br0_6,0.171955
br0_7,0.073164
br0_8,1.000000
br1_0,0.985188
br1_1,0.974480
br1_2,0.952786
br1_3,0.892519
br1_4,0.752926
br1_5,0.534927
br1_6,0.330149
br1_7,0.175663
br1_8,0.076021
br2_0,0.985280
br2_1,0.975122
br2_2,0.953057
br2_3,0.891310
br2_4,0.748319
br2_5,0.526821
br2_6,0.322426
br2_7,0.170011
br2_8,0.071791
br3_0,1.000000
br4_0,0.984711
br4_1,0.970497
br4_2,0.941732
br4_3,0.873159
br4_4,0.716775
br4_5,0.493762
br4_6,0.301823
br4_7,0.159002
br4_8,0.061708
br5_0,1.000000
br5_1,0.969608
br5_2,0.942909
br5_3,0.885307
br5_4,0.746232
br5_5,0.527862
br5_6,0.323880
br5_7,0.171955
br5_8,0.073164
br5_9,1.000000
br6_0,0.984711
br6_1,0.970497
br6_2,0.941732
br6_3,0.873159
br6_4,0.716775
br6_5,0.493762
br6_6,0.301823
br6_7,0.159002
br6_8,0.061708
br6_9,1.000000
br7_0,1.000000
br8_0,0.984711
br8_1,0.971923
br8_2,0.931869
br8_3,0.850661
br8_4,0.694152
br8_5,0.470877
br8_6,0.277037
br8_7,0.143911
br8_8,0.056625
br8_9,1.000000
br9_0,0.966726
br9_1,0.930689
br9_2,0.859481
br9_3,0.713439
br9_4,0.497310
br9_5,0.304666
br9_6,0.159476
br9_7,0.055822
br9_8,1.000000
br10_0,0.983897
br10_1,0.970618
br10_2,0.943519
br10_3,0.876319
br10_4,0.726540
br10_5,0.507724
br10_6,0.311900
br10_7,0.158655
br10_8,0.054368
br11_0,0.984065
br11_1,0.970486
br11_2,0.943524
br11_3,0.876334
br11_4,0.727123
br11_5,0.508290
br11_6,0.312697
br11_7,0.159914
br11_8,0.056601
br12_0,1.000000
br13_0,0.983980
br13_1,0.967933
br13_2,0.932161
br13_3,0.855740
br13_4,0.698626
br13_5,0.479748
br13_6,0.293046
br13_7,0.151684
br13_8,0.047889
br14_0,1.000000
br14_1,0.966726
br14_2,0.930689
br14_3,0.859481
br14_4,0.713439
br14_5,0.497310
br14_6,0.304666
br14_7,0.159476
br14_8,0.055822
br14_9,1.000000
br15_0,0.983980
br15_1,0.967933
br15_2,0.932161
br15_3,0.855740
br15_4,0.698626
br15_5,0.479748
br15_6,0.293046
br15_7,0.151684
br15_8,0.047889
br15_9,1.000000
br16_0,1.000000
br17_0,0.983980
br17_1,0.970701
br17_2,0.927763
br17_3,0.832275
br17_4,0.666207
br17_5,0.453166
br17_6,0.266095
br17_7,0.129496
br17_8,0.046048
br17_9,1.000000
br18_0,0.984711
br18_1,0.971923
br18_2,0.931869
br18_3,0.850661
br18_4,0.694152
br18_5,0.470877
br18_6,0.277037
br18_7,0.143911
br18_8,0.056625
br18_9,1.000000
br18_10,1.000000
br19_0,0.983980
br19_1,0.970701
br19_2,0.927763
br19_3,0.832275
br19_4,0.666207
br19_5,0.453166
br19_6,0.266095
br19_7,0.129496
br19_8,0.046048
br19_9,1.000000
br19_10,1.000000
br20_0,0.989769
br20_1,0.980876
br20_2,0.948918
br20_3,0.871534
br20_4,0.709794
br20_5,0.487240
br20_6,0.296883
br20_7,0.153625
br20_8,0.054355
br20_9,1.000000
br20_10,1.000000
br21_0,0.989278
br21_1,0.981083
br21_2,0.947235
br21_3,0.865072
br21_4,0.696740
br21_5,0.475463
br21_6,0.289927
br21_7,0.147530
br21_8,0.049647
br21_9,1.000000
br21_10,1.000000
br22_0,0.990855
br22_1,0.982056
br22_2,0.974907
br22_3,0.974513
br22_4,0.984491
br22_5,0.986016
br22_6,0.984850
br22_7,0.990071
br22_8,1.000000
br22_9,1.000000
br22_10,1.000000
br23_0,0.990158
br23_1,0.978933
br23_2,0.968079
br23_3,0.954196
br23_4,0.961593
br23_5,0.971426
br23_6,0.979031
br23_7,0.987526
br23_8,1.000000
br23_9,1.000000
br23_10,1.000000
br24_0,0.989848
br24_1,0.981487
br24_2,0.966510
br24_3,0.965070
br24_4,0.981300
br24_5,0.984710
br24_6,0.982566
br24_7,0.990830
br24_8,1.000000
br24_9,1.000000
br24_10,1.000000
br25_0,0.989990
br25_1,0.981810
br25_2,0.967930
br25_3,0.965337
br25_4,0.981600
br25_5,0.984934
br25_6,0.984387
br25_7,0.989707
br25_8,0.999951
br25_9,1.000000
br25_10,1.000000
br26_0,0.131983
br27_0,0.989526
br27_1,0.980379
br27_2,0.961654
br27_3,0.947431
br27_4,0.959386
br27_5,0.977090
br27_6,0.978750
br27_7,0.983204
br27_8,1.000000
br27_9,1.000000
br27_10,1.000000
br28_0,0.989672
br28_1,0.980370
br28_2,0.960402
br28_3,0.944888
br28_4,0.955514
br28_5,0.969219
br28_6,0.978316
br28_7,0.987221
br28_8,0.999774
br28_9,1.000000
br28_10,1.000000
br29_0,0.095769
br30_0,0.986850
br30_1,0.974349
br30_2,0.950995
br30_3,0.944336
br30_4,0.967086
br30_5,0.971279
br30_6,0.967319
br30_7,0.980457
br30_8,0.999951
br30_9,1.000000
br30_10,1.000000
br31_0,0.986850
br31_1,0.973040
br31_2,0.940629
br31_3,0.913257
br31_4,0.924529
br31_5,0.948834
br31_6,0.957300
br31_7,0.969966
br31_8,0.999774
br31_9,1.000000
br31_10,1.000000
br32_0,1.000000
br32_1,0.972544
br32_2,0.921741
br32_3,0.858455
br32_4,0.825217
br32_5,0.878001
br32_6,0.886667
br32_7,0.874930
br33_0,0.980617
