var,size,bit,cluster,score
abs_gx,11,10,0,0
abs_gx,11,6,0,0
abs_gx,11,7,0,0
abs_gx,11,8,0,0
abs_gx,11,9,0,0
abs_gy,11,10,0,0
abs_gy,11,8,0,0
abs_gy,11,9,0,0
add_out_1,1,0,0,0
add_out_2,1,0,0,0
add_out_3,1,0,0,0
add_out_4,1,0,0,0
center_1,10,0,0,0
center_1,10,9,0,0
center_2,10,9,0,0
center_3,10,0,0,0
center_3,10,9,0,0
center_4,10,1,0,0
center_4,10,9,0,0
center_tm,9,1,0,0
gx,11,10,0,0
gx,11,9,0,0
gx_2s_comp,11,10,0,0
gx_2s_comp,11,6,0,0
gx_2s_comp,11,7,0,0
gx_2s_comp,11,8,0,0
gx_2s_comp,11,9,0,0
gx_comp,11,0,0,0
gx_comp,11,10,0,0
gx_comp,11,6,0,0
gx_comp,11,7,0,0
gx_comp,11,8,0,0
gx_comp,11,9,0,0
gx_temp,10,9,0,0
gy,11,10,0,0
gy,11,9,0,0
gy_2s_comp,11,1,0,0
gy_2s_comp,11,10,0,0
gy_2s_comp,11,8,0,0
gy_2s_comp,11,9,0,0
gy_comp,11,0,0,0
gy_comp,11,1,0,0
gy_comp,11,10,0,0
gy_comp,11,8,0,0
gy_comp,11,9,0,0
gy_temp,10,9,0,0
p0_p6,9,0,0,0
p0_p6,9,1,0,0
p1_p7,9,8,0,0
p2_p0,9,1,0,0
p2_p8,9,1,0,0
p5_p3,9,8,0,0
sum,11,0,0,0
sum,11,10,0,0
sum,11,8,0,0
sum,11,9,0,0
abs_gx,11,1,0,1
abs_gy,11,1,0,1
center_3,10,1,0,1
center_4,10,0,0,1
center_tm,9,0,0,1
gx_2s_comp,11,1,0,1
gx_comp,11,1,0,1
gy,11,0,0,1
gy,11,1,0,1
gy_temp,10,0,0,1
gy_temp,10,1,0,1
p1_p7,9,0,0,1
p2_p8,9,0,0,1
center_3,10,2,0,2
p1_p7,9,1,0,2
center_1,10,1,0,3
p5_p3,9,0,0,3
center_2,10,1,0,4
center_rm,9,1,0,4
p2_p0,9,0,0,4
p8_p6,9,1,0,4
center_2,10,2,0,7
center_rm,9,2,0,7
gx,11,1,0,7
gx_comp,11,5,0,7
gx_temp,10,1,0,7
gy_2s_comp,11,2,0,7
gy_2s_comp,11,3,0,7
gy_comp,11,2,0,7
gy_comp,11,3,0,7
gx_2s_comp,11,2,0,9
gx_comp,11,2,0,9
gx_2s_comp,11,0,0,10
p8_p6,9,0,0,10
gx,11,3,0,13
gx_temp,10,3,0,13
center_2,10,0,0,14
center_rm,9,0,0,14
gx,11,0,0,14
gx_temp,10,0,0,14
abs_gx,11,2,0,15
center_1,10,2,0,15
p5_p3,9,1,0,15
gy_2s_comp,11,0,0,16
abs_gx,11,0,0,17
abs_gy,11,0,0,17
p0_p6,9,2,0,17
sum,11,1,0,17
gx_2s_comp,11,5,0,19
center_4,10,2,0,20
center_tm,9,2,0,20
gy_2s_comp,11,7,0,20
gy_comp,11,7,0,20
abs_gx,11,4,0,22
gx_2s_comp,11,3,0,22
gx_2s_comp,11,4,0,22
gx_comp,11,3,0,22
gx_comp,11,4,0,22
p2_p8,9,2,0,23
sum,11,2,0,24
abs_gy,11,7,0,25
abs_gx,11,5,0,31
gy,11,2,0,31
gy_temp,10,2,0,31
abs_gx,11,3,0,32
gy_2s_comp,11,4,0,37
abs_gy,11,2,0,38
gy_comp,11,4,0,48
gy_2s_comp,11,5,0,66
gy_comp,11,5,0,77
p2_p8,9,3,0,86
gy,11,3,0,98
gy_temp,10,3,0,98
p0_p6,9,4,0,98
abs_gy,11,3,0,105
sum,11,7,1,118
